Symbol,revenue,eps_basic,cash_and_equiv,total_assets,total_liabilities,retained_earnings,total_liabilities_and_equity,cf_cfo,total_assets_growth,equity_to_assets,period_end_date,Average_Stock_Value_After_Result
BDX,4195000000,-0.07,686000000.0,52598000000,31288000000,12792000000,52598000000.0,780000000,-0.0361,0.4051,2019-03,232.3337198893229
BDX,4350000000,1.53,523000000.0,52233000000,30735000000,12997000000,52233000000.0,933000000,-0.0323,0.4115,2019-06,246.8572988358755
BDX,4584000000,0.41,536000000.0,51765000000,30683000000,12913000000,51765000000.0,1371000000,-0.0396,0.4072,2019-09,249.0531933496869
BDX,4225000000,0.88,560000000.0,51952000000,30751000000,12938000000,51952000000.0,713000000,-0.0185,0.408,2019-12,247.58568154611896
BDX,4253000000,0.53,2351000000.0,53516000000,32565000000,12868000000,53516000000.0,483000000,0.0174,0.3914,2020-03,240.86984083387583
BDX,3855000000,0.98,2882000000.0,53959000000,29937000000,12916000000,53959000000.0,862000000,0.033,0.4451,2020-06,246.020750499907
BDX,3741000000,0.36,2825000000.0,54012000000,30247000000,12791000000,54012000000.0,1481000000,0.0434,0.4399,2020-09,233.01107255239336
BDX,5315000000,3.38,3248000000.0,54748000000,30085000000,13522000000,54748000000.0,1533000000,0.0538,0.4504,2020-12,244.3169169272145
BDX,4907000000,0.95,3734000000.0,54921000000,30094000000,13557000000,54921000000.0,1188000000,0.0262,0.452,2021-03,239.7155253092448
BDX,4607000000,1.73,3153000000.0,54333000000,30197000000,13821000000,54333000000.0,975000000,0.0069,0.4442,2021-06,245.35656253875248
BDX,4849000000,0.85,2283000000.0,53880000000,30203000000,13826000000,53880000000.0,952000000,-0.0024,0.4394,2021-09,239.49515981522816
BDX,4718000000,2.3,1903000000.0,53363000000,29202000000,14233000000,53363000000.0,674000000,-0.0252,0.4527,2021-12,257.29446580674914
BDX,4750000000,1.51,3147000000.0,54786000000,30260000000,14416000000,54786000000.0,444000000,-0.0024,0.4476,2022-03,254.1211653678648
BDX,4641000000,1.18,2558000000.0,53199000000,27705000000,15088000000,53199000000.0,544000000,-0.0208,0.4792,2022-06,249.27269902305
BDX,4761000000,0.93,1006000000.0,52934000000,27652000000,15157000000,52934000000.0,972000000,-0.0175,0.4776,2022-09,236.0522221156529
BDX,4586000000,1.71,612000000.0,53129000000,27656000000,15384000000,53129000000.0,400000000,-0.0043,0.4794,2022-12,244.67193554293723
BDX,4821000000,1.54,1981000000.0,54394000000,28703000000,15563000000,54394000000.0,184000000,-0.0071,0.4723,2023-03,253.70483742990805
BDX,4878000000,1.37,923000000.0,53017000000,27079000000,15691000000,53017000000.0,1080000000,-0.0034,0.4892,2023-06,270.11873130192834
BDX,5087000000,0.37,1416000000.0,52780000000,26983000000,15535000000,52780000000.0,1325000000,-0.0029,0.4887,2023-09,246.47698417542472
ES,1284461000,0.14,106810000.0,10149557000,7894512000,680934000,10149557000.0,220982000,-0.0974,0.2221,2002-03,19.602968722581863
ES,1673193000,0.22,94023000.0,10314659000,8054740000,678593000,10314659000.0,126245000,0.0151,0.219,2002-06,16.843809581938245
ES,1361045000,0.38,70726000.0,10316201000,8010750000,727204000,10316201000.0,119871000,0.0022,0.2234,2002-09,14.643809530470106
ES,1466908000,0.44,54678000.0,10764880000,8438159000,765611000,10764880000.0,122651000,0.0419,0.2161,2002-12,14.253548329876317
ES,1584183000,0.47,98959000.0,10273203000,7927439000,808352000,10273203000.0,125746000,0.0121,0.2283,2003-03,15.384603212750148
ES,1330038000,0.21,57028000.0,10419716000,8089022000,798796000,10419716000.0,85911000,0.0101,0.2236,2003-06,17.103650895376052
ES,1640117000,0.31,118138000.0,10598368000,8227876000,837963000,10598368000.0,249097000,0.0273,0.2236,2003-09,19.197301773797896
ES,1514818000,-0.08,43372000.0,11216487000,8836167000,808932000,11216487000.0,132660000,0.0419,0.2122,2003-12,19.206451723652503
ES,1838287000,0.53,76050000.0,11538750000,9089194000,857197000,11538750000.0,327297000,0.1231,0.2122,2004-03,18.55403226421725
ES,1524666000,0.19,75265000.0,11513789000,9074131000,840082000,11513789000.0,166635000,0.105,0.2118,2004-06,19.013174723065088
ES,1624487000,-0.06,97852000.0,11541452000,9106343000,879153000,11541452000.0,-65354000,0.0889,0.2109,2004-09,18.83730158730159
ES,1633201000,0.26,46989000.0,11656179000,9243268000,845343000,11656179000.0,88489000,0.0392,0.207,2004-12,18.66629049854894
ES,2232964000,-0.91,74021000.0,12078986000,9791409000,706619000,12078986000.0,189107000,0.0468,0.1893,2005-03,19.52984380722046
ES,1531613000,-0.21,55483000.0,11950556000,9731987000,635221000,11950556000.0,87821000,0.0379,0.1856,2005-06,20.45952388218471
ES,1754942000,-0.73,86194000.0,12929392000,10781668000,540642000,12929392000.0,75828000,0.1202,0.1661,2005-09,18.77365075974237
ES,1826707000,-0.08,45782000.0,12567875000,10022431000,504301000,12567875000.0,88448000,0.0782,0.2025,2005-12,19.73580643438524
ES,2147388000,-0.07,36268000.0,12134576000,9640247000,466954000,12134576000.0,42726000,0.0046,0.2055,2006-03,20.017460353790767
ES,1661061000,0.14,48744000.0,11458952000,8988888000,433273000,11458952000.0,170421000,-0.0411,0.2155,2006-06,22.404444376627605
ES,1592784000,0.72,50455000.0,11492539000,8903139000,544700000,11492539000.0,167119000,-0.1111,0.2253,2006-09,26.22809522114103
ES,1476454000,2.26,481911000.0,11303236000,8388857000,862660000,11303236000.0,26808000,-0.1006,0.2578,2006-12,29.13606552999528
ES,1703518000,0.49,214730000.0,11036088000,8102646000,876214000,11036088000.0,-266611000,-0.0905,0.2658,2007-03,31.160476230439684
ES,1392053000,0.31,138823000.0,11125750000,8186448000,864598000,11125750000.0,229111000,-0.029,0.2641,2007-06,28.07857150123233
ES,1451080000,0.32,207653000.0,11338984000,8348761000,914622000,11338984000.0,105651000,-0.0133,0.2637,2007-09,30.66444442385719
ES,1274800000,0.47,15104000.0,11581822000,8551787000,946792000,11581822000.0,180284000,0.0246,0.2616,2007-12,27.296721255192992
ES,1519967000,0.38,24974000.0,12343778000,9300802000,973971000,12343778000.0,97726000,0.1184,0.2465,2008-03,26.360312521457672
ES,1325345000,0.37,12128000.0,12709252000,9653596000,967329000,12709252000.0,184078000,0.1423,0.2404,2008-06,25.96492064945281
